CustomerKey,CustomerName,Segment,Industry,RegionKey,RegionName,Country,City,CustomerSince,Status
1,Customer 0001,Consumer,Government,7,Bahrain,Bahrain,Manama,2018-02-02,Active
2,Customer 0002,Small Business,Hospitality,4,Saudi West,Saudi Arabia,Jeddah,2019-03-03,Dormant
3,Customer 0003,Consumer,Hospitality,9,India West,India,Mumbai,2020-04-04,Active
4,Customer 0004,Consumer,Education,1,UAE North,UAE,Dubai,2021-05-05,Active
5,Customer 0005,Mid-Market,Government,3,Saudi Central,Saudi Arabia,Riyadh,2022-06-06,Active
6,Customer 0006,Consumer,Government,4,Saudi West,Saudi Arabia,Jeddah,2023-07-07,Active
7,Customer 0007,Small Business,Retail,9,India West,India,Mumbai,2024-08-08,Dormant
8,Customer 0008,Small Business,Government,3,Saudi Central,Saudi Arabia,Riyadh,2017-09-09,Active
9,Customer 0009,Small Business,Technology,9,India West,India,Mumbai,2018-10-10,Active
10,Customer 0010,Mid-Market,Retail,7,Bahrain,Bahrain,Manama,2019-11-11,Active
11,Customer 0011,Enterprise,Financial Services,10,India South,India,Bengaluru,2020-12-12,Active
12,Customer 0012,Small Business,Retail,2,UAE South,UAE,Abu Dhabi,2021-01-13,Active
13,Customer 0013,Enterprise,Financial Services,8,Oman,Oman,Muscat,2022-02-14,Active
14,Customer 0014,Consumer,Financial Services,3,Saudi Central,Saudi Arabia,Riyadh,2023-03-15,Active
15,Customer 0015,Small Business,Financial Services,7,Bahrain,Bahrain,Manama,2024-04-16,Dormant
16,Customer 0016,Small Business,Healthcare,2,UAE South,UAE,Abu Dhabi,2017-05-17,Active
17,Customer 0017,Mid-Market,Financial Services,2,UAE South,UAE,Abu Dhabi,2018-06-18,Active
18,Customer 0018,Consumer,Retail,4,Saudi West,Saudi Arabia,Jeddah,2019-07-19,Active
19,Customer 0019,Small Business,Financial Services,8,Oman,Oman,Muscat,2020-08-20,Dormant
20,Customer 0020,Mid-Market,Construction,4,Saudi West,Saudi Arabia,Jeddah,2021-09-21,Active
21,Customer 0021,Mid-Market,Hospitality,5,Qatar,Qatar,Doha,2022-10-22,Active
22,Customer 0022,Small Business,Retail,7,Bahrain,Bahrain,Manama,2023-11-23,Active
23,Customer 0023,Enterprise,Retail,4,Saudi West,Saudi Arabia,Jeddah,2024-12-24,Dormant
24,Customer 0024,Small Business,Retail,10,India South,India,Bengaluru,2017-01-25,Active
25,Customer 0025,Small Business,Education,1,UAE North,UAE,Dubai,2018-02-01,Active
26,Customer 0026,Mid-Market,Technology,1,UAE North,UAE,Dubai,2019-03-02,Active
27,Customer 0027,Mid-Market,Construction,10,India South,India,Bengaluru,2020-04-03,Active
28,Customer 0028,Consumer,Education,5,Qatar,Qatar,Doha,2021-05-04,Dormant
29,Customer 0029,Mid-Market,Healthcare,5,Qatar,Qatar,Doha,2022-06-05,Dormant
30,Customer 0030,Small Business,Construction,9,India West,India,Mumbai,2023-07-06,Dormant
31,Customer 0031,Mid-Market,Financial Services,9,India West,India,Mumbai,2024-08-07,Dormant
32,Customer 0032,Mid-Market,Healthcare,3,Saudi Central,Saudi Arabia,Riyadh,2017-09-08,Dormant
33,Customer 0033,Consumer,Technology,4,Saudi West,Saudi Arabia,Jeddah,2018-10-09,Active
34,Customer 0034,Consumer,Financial Services,8,Oman,Oman,Muscat,2019-11-10,Dormant
35,Customer 0035,Small Business,Financial Services,9,India West,India,Mumbai,2020-12-11,Active
36,Customer 0036,Mid-Market,Hospitality,5,Qatar,Qatar,Doha,2021-01-12,Dormant
37,Customer 0037,Enterprise,Education,6,Kuwait,Kuwait,Kuwait City,2022-02-13,Active
38,Customer 0038,Small Business,Retail,5,Qatar,Qatar,Doha,2023-03-14,Active
39,Customer 0039,Consumer,Education,4,Saudi West,Saudi Arabia,Jeddah,2024-04-15,Dormant
40,Customer 0040,Consumer,Construction,4,Saudi West,Saudi Arabia,Jeddah,2017-05-16,Active
41,Customer 0041,Mid-Market,Education,1,UAE North,UAE,Dubai,2018-06-17,Active
42,Customer 0042,Consumer,Education,8,Oman,Oman,Muscat,2019-07-18,Dormant
43,Customer 0043,Small Business,Technology,4,Saudi West,Saudi Arabia,Jeddah,2020-08-19,Dormant
44,Customer 0044,Small Business,Construction,8,Oman,Oman,Muscat,2021-09-20,Active
45,Customer 0045,Mid-Market,Government,5,Qatar,Qatar,Doha,2022-10-21,Dormant
46,Customer 0046,Consumer,Government,2,UAE South,UAE,Abu Dhabi,2023-11-22,Active
47,Customer 0047,Small Business,Financial Services,4,Saudi West,Saudi Arabia,Jeddah,2024-12-23,Active
48,Customer 0048,Consumer,Healthcare,10,India South,India,Bengaluru,2017-01-24,Active
49,Customer 0049,Small Business,Financial Services,5,Qatar,Qatar,Doha,2018-02-25,Active
50,Customer 0050,Mid-Market,Education,3,Saudi Central,Saudi Arabia,Riyadh,2019-03-01,Dormant
51,Customer 0051,Consumer,Government,10,India South,India,Bengaluru,2020-04-02,Active
52,Customer 0052,Consumer,Government,5,Qatar,Qatar,Doha,2021-05-03,Dormant
53,Customer 0053,Mid-Market,Construction,8,Oman,Oman,Muscat,2022-06-04,Active
54,Customer 0054,Consumer,Government,3,Saudi Central,Saudi Arabia,Riyadh,2023-07-05,Active
55,Customer 0055,Consumer,Retail,9,India West,India,Mumbai,2024-08-06,Active
56,Customer 0056,Consumer,Retail,2,UAE South,UAE,Abu Dhabi,2017-09-07,Active
57,Customer 0057,Mid-Market,Education,7,Bahrain,Bahrain,Manama,2018-10-08,Active
58,Customer 0058,Enterprise,Government,3,Saudi Central,Saudi Arabia,Riyadh,2019-11-09,Active
59,Customer 0059,Small Business,Government,1,UAE North,UAE,Dubai,2020-12-10,Dormant
60,Customer 0060,Enterprise,Financial Services,1,UAE North,UAE,Dubai,2021-01-11,Active
61,Customer 0061,Small Business,Technology,1,UAE North,UAE,Dubai,2022-02-12,Active
62,Customer 0062,Small Business,Financial Services,1,UAE North,UAE,Dubai,2023-03-13,Active
63,Customer 0063,Consumer,Healthcare,2,UAE South,UAE,Abu Dhabi,2024-04-14,Active
64,Customer 0064,Small Business,Technology,4,Saudi West,Saudi Arabia,Jeddah,2017-05-15,Active
65,Customer 0065,Consumer,Hospitality,5,Qatar,Qatar,Doha,2018-06-16,Active
66,Customer 0066,Small Business,Education,7,Bahrain,Bahrain,Manama,2019-07-17,Active
67,Customer 0067,Small Business,Hospitality,5,Qatar,Qatar,Doha,2020-08-18,Active
68,Customer 0068,Small Business,Financial Services,2,UAE South,UAE,Abu Dhabi,2021-09-19,Dormant
69,Customer 0069,Small Business,Healthcare,1,UAE North,UAE,Dubai,2022-10-20,Active
70,Customer 0070,Consumer,Construction,8,Oman,Oman,Muscat,2023-11-21,Active
71,Customer 0071,Consumer,Education,9,India West,India,Mumbai,2024-12-22,Active
72,Customer 0072,Small Business,Retail,10,India South,India,Bengaluru,2017-01-23,Active
73,Customer 0073,Consumer,Retail,5,Qatar,Qatar,Doha,2018-02-24,Active
74,Customer 0074,Enterprise,Education,6,Kuwait,Kuwait,Kuwait City,2019-03-25,Active
75,Customer 0075,Consumer,Technology,7,Bahrain,Bahrain,Manama,2020-04-01,Active
76,Customer 0076,Mid-Market,Financial Services,10,India South,India,Bengaluru,2021-05-02,Active
77,Customer 0077,Consumer,Healthcare,7,Bahrain,Bahrain,Manama,2022-06-03,Active
78,Customer 0078,Consumer,Construction,9,India West,India,Mumbai,2023-07-04,Active
79,Customer 0079,Small Business,Hospitality,2,UAE South,UAE,Abu Dhabi,2024-08-05,Active
80,Customer 0080,Consumer,Financial Services,10,India South,India,Bengaluru,2017-09-06,Active
81,Customer 0081,Small Business,Government,1,UAE North,UAE,Dubai,2018-10-07,Dormant
82,Customer 0082,Mid-Market,Financial Services,4,Saudi West,Saudi Arabia,Jeddah,2019-11-08,Dormant
83,Customer 0083,Small Business,Financial Services,3,Saudi Central,Saudi Arabia,Riyadh,2020-12-09,Active
84,Customer 0084,Mid-Market,Education,10,India South,India,Bengaluru,2021-01-10,Active
85,Customer 0085,Mid-Market,Financial Services,2,UAE South,UAE,Abu Dhabi,2022-02-11,Active
86,Customer 0086,Mid-Market,Hospitality,7,Bahrain,Bahrain,Manama,2023-03-12,Active
87,Customer 0087,Consumer,Government,1,UAE North,UAE,Dubai,2024-04-13,Active
88,Customer 0088,Enterprise,Hospitality,5,Qatar,Qatar,Doha,2017-05-14,Active
89,Customer 0089,Small Business,Financial Services,7,Bahrain,Bahrain,Manama,2018-06-15,Active
90,Customer 0090,Enterprise,Hospitality,1,UAE North,UAE,Dubai,2019-07-16,Active
91,Customer 0091,Enterprise,Financial Services,7,Bahrain,Bahrain,Manama,2020-08-17,Dormant
92,Customer 0092,Consumer,Education,2,UAE South,UAE,Abu Dhabi,2021-09-18,Active
93,Customer 0093,Mid-Market,Technology,7,Bahrain,Bahrain,Manama,2022-10-19,Active
94,Customer 0094,Small Business,Hospitality,5,Qatar,Qatar,Doha,2023-11-20,Active
95,Customer 0095,Mid-Market,Technology,7,Bahrain,Bahrain,Manama,2024-12-21,Dormant
96,Customer 0096,Mid-Market,Education,2,UAE South,UAE,Abu Dhabi,2017-01-22,Dormant
97,Customer 0097,Small Business,Government,10,India South,India,Bengaluru,2018-02-23,Active
98,Customer 0098,Mid-Market,Financial Services,3,Saudi Central,Saudi Arabia,Riyadh,2019-03-24,Active
99,Customer 0099,Small Business,Construction,10,India South,India,Bengaluru,2020-04-25,Dormant
100,Customer 0100,Small Business,Healthcare,6,Kuwait,Kuwait,Kuwait City,2021-05-01,Active
101,Customer 0101,Small Business,Education,6,Kuwait,Kuwait,Kuwait City,2022-06-02,Dormant
102,Customer 0102,Mid-Market,Financial Services,6,Kuwait,Kuwait,Kuwait City,2023-07-03,Active
103,Customer 0103,Consumer,Government,5,Qatar,Qatar,Doha,2024-08-04,Active
104,Customer 0104,Small Business,Financial Services,6,Kuwait,Kuwait,Kuwait City,2017-09-05,Active
105,Customer 0105,Consumer,Education,2,UAE South,UAE,Abu Dhabi,2018-10-06,Active
106,Customer 0106,Enterprise,Government,9,India West,India,Mumbai,2019-11-07,Active
107,Customer 0107,Consumer,Hospitality,8,Oman,Oman,Muscat,2020-12-08,Dormant
108,Customer 0108,Mid-Market,Technology,8,Oman,Oman,Muscat,2021-01-09,Active
109,Customer 0109,Small Business,Financial Services,5,Qatar,Qatar,Doha,2022-02-10,Dormant
110,Customer 0110,Small Business,Government,2,UAE South,UAE,Abu Dhabi,2023-03-11,Dormant
111,Customer 0111,Small Business,Financial Services,9,India West,India,Mumbai,2024-04-12,Active
112,Customer 0112,Consumer,Hospitality,6,Kuwait,Kuwait,Kuwait City,2017-05-13,Active
113,Customer 0113,Small Business,Construction,4,Saudi West,Saudi Arabia,Jeddah,2018-06-14,Active
114,Customer 0114,Enterprise,Financial Services,10,India South,India,Bengaluru,2019-07-15,Active
115,Customer 0115,Enterprise,Hospitality,7,Bahrain,Bahrain,Manama,2020-08-16,Active
116,Customer 0116,Small Business,Education,4,Saudi West,Saudi Arabia,Jeddah,2021-09-17,Dormant
117,Customer 0117,Small Business,Healthcare,6,Kuwait,Kuwait,Kuwait City,2022-10-18,Active
118,Customer 0118,Small Business,Technology,1,UAE North,UAE,Dubai,2023-11-19,Dormant
119,Customer 0119,Enterprise,Healthcare,2,UAE South,UAE,Abu Dhabi,2024-12-20,Active
120,Customer 0120,Mid-Market,Education,5,Qatar,Qatar,Doha,2017-01-21,Dormant
121,Customer 0121,Small Business,Government,6,Kuwait,Kuwait,Kuwait City,2018-02-22,Dormant
122,Customer 0122,Enterprise,Retail,6,Kuwait,Kuwait,Kuwait City,2019-03-23,Active
123,Customer 0123,Consumer,Hospitality,1,UAE North,UAE,Dubai,2020-04-24,Active
124,Customer 0124,Small Business,Healthcare,4,Saudi West,Saudi Arabia,Jeddah,2021-05-25,Active
125,Customer 0125,Small Business,Government,9,India West,India,Mumbai,2022-06-01,Active
126,Customer 0126,Small Business,Healthcare,7,Bahrain,Bahrain,Manama,2023-07-02,Dormant
127,Customer 0127,Enterprise,Education,7,Bahrain,Bahrain,Manama,2024-08-03,Dormant
