ProductKey,ProductName,Category,Subcategory,Brand,StandardCost,ListPrice,ProductTier,Status
1,Adventure Laptops 01,Electronics,Laptops,Adventure,71.33,109.83,Standard,Active
2,Fabrikam Laptops 02,Electronics,Laptops,Fabrikam,815.63,1362.1,Eco,Active
3,Adventure Laptops 03,Electronics,Laptops,Adventure,220.3,343.96,Eco,Active
4,Summit Laptops 04,Electronics,Laptops,Summit,126.02,215.9,Eco,Active
5,Vertex Laptops 05,Electronics,Laptops,Vertex,429.62,699.09,Standard,Active
6,Nova Laptops 06,Electronics,Laptops,Nova,92.14,143.33,Premium,Active
7,Contoso Laptops 07,Electronics,Laptops,Contoso,374.7,626.64,Eco,Active
8,Contoso Laptops 08,Electronics,Laptops,Contoso,590.88,914.87,Premium,Active
9,Fabrikam Laptops 09,Electronics,Laptops,Fabrikam,657.57,1076.01,Standard,Active
10,Northwind Laptops 10,Electronics,Laptops,Northwind,178.9,265.79,Premium,Active
11,Fabrikam Laptops 11,Electronics,Laptops,Fabrikam,171.67,247.84,Premium,Active
12,Fabrikam Laptops 12,Electronics,Laptops,Fabrikam,728.76,1215.5,Standard,Active
13,Contoso Laptops 13,Electronics,Laptops,Contoso,589.71,877.57,Standard,Active
14,Northwind Laptops 14,Electronics,Laptops,Northwind,834.32,1388.11,Premium,Active
15,Vertex Laptops 15,Electronics,Laptops,Vertex,441.19,574.36,Standard,Active
16,Vertex Laptops 16,Electronics,Laptops,Vertex,154.86,182.93,Premium,Active
17,Apex Laptops 17,Electronics,Laptops,Apex,834.45,1358.09,Premium,Active
18,Pioneer Laptops 18,Electronics,Laptops,Pioneer,629.36,1004.7,Eco,Active
19,Apex Laptops 19,Electronics,Laptops,Apex,648.82,822.86,Standard,Active
20,Pioneer Laptops 20,Electronics,Laptops,Pioneer,872.09,1316.97,Standard,Active
21,Summit Laptops 21,Electronics,Laptops,Summit,675.19,818.72,Premium,Active
22,Northwind Laptops 22,Electronics,Laptops,Northwind,456.54,760.62,Standard,Active
23,Northwind Laptops 23,Electronics,Laptops,Northwind,865.01,1060.21,Standard,Active
24,Adventure Laptops 24,Electronics,Laptops,Adventure,538.77,843.11,Premium,Active
25,Adventure Laptops 25,Electronics,Laptops,Adventure,114.94,193.96,Eco,Active
26,Vertex Monitors 01,Electronics,Monitors,Vertex,538.31,825.25,Eco,Active
27,Apex Monitors 02,Electronics,Monitors,Apex,528.64,781.32,Standard,Active
28,Apex Monitors 03,Electronics,Monitors,Apex,605.4,822.79,Premium,Active
29,Orion Monitors 04,Electronics,Monitors,Orion,124.74,193.09,Premium,Active
30,Contoso Monitors 05,Electronics,Monitors,Contoso,836.68,1433.54,Premium,Active
31,Fabrikam Monitors 06,Electronics,Monitors,Fabrikam,562.07,843.61,Standard,Active
32,Northwind Monitors 07,Electronics,Monitors,Northwind,487.57,715.93,Premium,Active
33,Nova Monitors 08,Electronics,Monitors,Nova,793.73,1334.41,Premium,Active
34,Apex Monitors 09,Electronics,Monitors,Apex,148.71,246.15,Eco,Active
35,Pioneer Monitors 10,Electronics,Monitors,Pioneer,885.6,1452.43,Standard,Active
36,Fabrikam Monitors 11,Electronics,Monitors,Fabrikam,603.73,903.25,Standard,Active
37,Pioneer Monitors 12,Electronics,Monitors,Pioneer,243.9,411.49,Standard,Active
38,Nova Monitors 13,Electronics,Monitors,Nova,250.93,382.61,Standard,Active
39,Pioneer Monitors 14,Electronics,Monitors,Pioneer,621.25,1035.1,Premium,Active
40,Contoso Monitors 15,Electronics,Monitors,Contoso,232.0,393.85,Standard,Active
41,Contoso Monitors 16,Electronics,Monitors,Contoso,573.78,948.3,Standard,Active
42,Apex Monitors 17,Electronics,Monitors,Apex,305.53,383.31,Standard,Active
43,Vertex Monitors 18,Electronics,Monitors,Vertex,669.18,1000.06,Eco,Active
44,Northwind Monitors 19,Electronics,Monitors,Northwind,16.63,20.34,Eco,Active
