TargetKey,MonthStartDateKey,SalespersonKey,RegionKey,TargetSales,TargetProfit,TargetOrders
1,20220101,1,1,143120.95,29879.49,117
2,20220201,1,1,149788.04,38217.46,84
3,20220301,1,1,146224.56,43840.82,92
4,20220401,1,1,143591.4,31236.06,152
5,20220501,1,1,145401.73,40339.07,81
6,20220601,1,1,147689.98,39201.22,101
7,20220701,1,1,111574.08,30052.6,108
8,20220801,1,1,122205.84,36526.94,118
9,20220901,1,1,128157.2,32947.5,84
10,20221001,1,1,132002.22,27274.06,89
11,20221101,1,1,169730.3,50562.24,173
12,20221201,1,1,153220.14,39911.58,101
13,20230101,1,1,145325.14,32626.78,82
14,20230201,1,1,151206.11,42058.14,85
15,20230301,1,1,135075.57,31761.38,146
16,20230401,1,1,146960.5,43148.17,118
17,20230501,1,1,147585.49,39768.18,107
18,20230601,1,1,129031.58,34186.83,72
19,20230701,1,1,111554.05,24106.33,69
20,20230801,1,1,114253.72,32198.42,101
21,20230901,1,1,131836.53,32242.57,102
22,20231001,1,1,127864.05,32869.86,112
23,20231101,1,1,180443.56,38723.03,101
24,20231201,1,1,177820.54,35818.5,185
25,20240101,1,1,147017.47,31449.99,151
26,20240201,1,1,133692.37,31397.28,122
27,20240301,1,1,148143.94,44328.0,159
28,20240401,1,1,134116.68,39558.44,107
29,20240501,1,1,132454.34,36034.37,137
30,20240601,1,1,136984.93,31522.94,102
31,20240701,1,1,123080.09,28088.97,71
32,20240801,1,1,136416.24,33287.83,79
33,20240901,1,1,129226.81,32506.01,76
34,20241001,1,1,153810.96,39766.01,149
35,20241101,1,1,157113.28,42368.44,94
36,20241201,1,1,184516.59,53564.47,152
37,20250101,1,1,143388.41,37742.06,103
38,20250201,1,1,141317.87,32200.32,86
39,20250301,1,1,132828.19,32460.84,109
40,20250401,1,1,139131.06,36951.26,87
41,20250501,1,1,131418.27,39016.0,110
42,20250601,1,1,138934.69,30252.64,108
43,20250701,1,1,112374.01,32852.86,90
44,20250801,1,1,112186.07,33539.65,91
45,20250901,1,1,127130.4,29395.15,101
46,20251001,1,1,126328.17,36290.02,85
47,20251101,1,1,166002.65,38083.03,182
48,20251201,1,1,153625.39,42269.94,130
49,20220101,2,1,71846.29,21392.09,58
50,20220201,2,1,65675.51,16991.24,59
51,20220301,2,1,62488.31,16881.15,53
52,20220401,2,1,65207.74,17011.18,42
53,20220501,2,1,71423.26,20712.43,44
54,20220601,2,1,59120.16,12609.39,33
55,20220701,2,1,60187.54,13930.49,41
56,20220801,2,1,63229.17,12964.61,49
57,20220901,2,1,65600.72,17158.31,37
58,20221001,2,1,67529.16,17884.9,67
59,20221101,2,1,71470.58,18470.84,43
60,20221201,2,1,81266.18,17191.55,70
61,20230101,2,1,68216.53,17692.36,43
62,20230201,2,1,67129.59,19837.43,63
63,20230301,2,1,67421.63,14618.25,45
64,20230401,2,1,72626.21,17335.52,59
65,20230501,2,1,60632.5,12594.37,36
66,20230601,2,1,63469.22,14521.62,35
67,20230701,2,1,54347.29,13180.42,59
68,20230801,2,1,53805.37,13322.9,54
69,20230901,2,1,63576.14,16845.79,45
70,20231001,2,1,61059.22,12734.33,63
71,20231101,2,1,77310.81,18891.18,48
72,20231201,2,1,84792.03,17437.2,64
73,20240101,2,1,61877.05,17717.28,44
74,20240201,2,1,61584.57,15970.97,37
75,20240301,2,1,71276.81,17384.15,40
76,20240401,2,1,72522.91,20054.35,73
77,20240501,2,1,58801.49,16656.08,43
78,20240601,2,1,59040.26,15785.89,45
79,20240701,2,1,53406.2,12846.07,41
80,20240801,2,1,62349.95,17042.93,51
81,20240901,2,1,63965.23,14654.91,36
82,20241001,2,1,65173.07,17847.61,64
83,20241101,2,1,76693.2,18941.69,61
84,20241201,2,1,74405.57,19028.4,70
85,20250101,2,1,70766.05,14370.72,73
86,20250201,2,1,66287.93,19773.57,38
87,20250301,2,1,68253.07,17247.47,59
88,20250401,2,1,59347.94,15921.02,46
89,20250501,2,1,70573.86,16427.9,39
90,20250601,2,1,60396.5,16618.71,49
91,20250701,2,1,55550.66,12798.04,51
92,20250801,2,1,52373.9,12972.9,50
93,20250901,2,1,66662.64,14105.39,45
94,20251001,2,1,61678.95,18419.52,55
95,20251101,2,1,70219.94,19772.38,51
96,20251201,2,1,80111.02,23253.44,67
97,20220101,3,1,61424.47,16107.33,61
98,20220201,3,1,70986.24,19027.67,58
99,20220301,3,1,63182.84,14785.05,37
100,20220401,3,1,63261.33,13037.18,47
101,20220501,3,1,63002.66,15614.23,53
102,20220601,3,1,62986.16,14050.59,61
103,20220701,3,1,51999.21,15504.63,43
104,20220801,3,1,58564.42,11807.51,60
105,20220901,3,1,65335.61,14703.31,38
106,20221001,3,1,62263.01,13246.38,52
107,20221101,3,1,72480.13,20795.28,75
108,20221201,3,1,83660.57,21573.73,84
109,20230101,3,1,65560.88,15395.42,65
110,20230201,3,1,67105.23,17017.75,41
111,20230301,3,1,64709.27,17345.06,64
112,20230401,3,1,63585.53,14489.12,67
